t,residual_norm,smooth_log_norm,loss_bound_log_norm,parameter_speed,gate_defect_0.0002,count_0.0002,gate_defect_0.0001,count_0.0001,gate_defect_1e-05,count_1e-05
2.08,1.2245806527011485,1.742910581028254,2.600520990313748,0.9150325096333598,2.5877009189254656e-05,18,1.7088794501323333e-05,7,0.0,0
2.1,1.2105124243131553,1.72289432537765,2.570645683090164,0.9358025289170634,3.529185699486858e-05,29,1.8110337374377863e-05,12,7.303160128312024e-06,1
2.12,1.1956394121621652,1.7017315640286752,2.539061336071021,0.9558743569849341,3.2682523837275386e-05,20,2.004327072852209e-05,8,1.2115525092065288e-05,2
2.14,1.1799420234166742,1.6793940403940006,2.505726341895079,0.9751144491899914,3.403414773223652e-05,28,1.7381137520836063e-05,14,3.5748900253238564e-08,1
2.16,1.1634039850400282,1.655858144320497,2.47060614312155,0.9933869105176295,3.6776498101021876e-05,26,1.9596961181046275e-05,10,8.0576659441017e-06,2
2.18,1.1460129490078366,1.6311058899664728,2.4336745174705494,1.0105514074816446,4.391074794493926e-05,32,3.271790184969358e-05,15,5.511133614081082e-06,2
2.2,1.1277610137316796,1.6051255953503447,2.394914685119125,1.02646183737494,3.482084974400519e-05,15,3.210495167131955e-05,10,3.5432436837518857e-06,1
2.22,1.1086452413214574,1.5779125290421312,2.3543204071602237,1.0409720195200096,3.628817791248636e-05,22,2.5884833924075856e-05,12,0.0,0
2.24,1.0886681622397767,1.5494696884596337,2.31189705728737,1.0539453889621382,2.953617036326119e-05,22,2.507239770410221e-05,10,9.586847434628387e-06,1
2.2600000000000002,1.0678382383689087,1.5198084108786076,2.267662605164232,1.065240788424125,2.4435783754485884e-05,13,9.270266720179737e-06,4,0.0,0
2.2800000000000002,1.0461703623915437,1.4889491348502788,2.2216486769102115,1.0747221340950888,2.3905278599524864e-05,14,1.5952908035217813e-05,8,0.0,0
2.3000000000000003,1.0236863189447136,1.4569220965012741,2.1739015344074812,1.0822600667861444,2.035703047586281e-05,12,1.9883538733171313e-05,7,1.0096458705379481e-05,1
2.3200000000000003,1.000415042641336,1.4237676069297096,2.12448262323586,1.087744712983923,2.9705544217941824e-05,17,1.9522291628961906e-05,7,1.222245131321445e-05,3
2.3400000000000003,0.9763927066396024,1.389536147359263,2.0734687607588707,1.0910668977165148,3.597623706872343e-05,15,3.018292152562103e-05,10,0.0,0
2.3600000000000003,0.9516629244657834,1.3542888211557955,2.0209525647149036,1.0921421407641223,4.394562780823804e-05,31,2.3338830774553496e-05,13,0.0,0
2.38,0.9262764740020994,1.3180967470819425,1.9670418670775127,1.0909034926048746,2.6389377345849165e-05,18,1.1105738593496728e-05,7,3.7074583578135765e-07,1
2.4,0.9002912656905331,1.2810411434884534,1.9118596465329953,1.087295028460928,4.5857008534200505e-05,20,3.6236193967173015e-05,11,0.0,0
2.42,0.8737721824756172,1.2432131497065715,1.855543688582698,1.0812929189628904,2.253359172577592e-05,16,1.5789763214379422e-05,8,9.453000824212168e-06,2
2.44,0.8467900439521483,1.2047121591779781,1.7982443858058166,1.0728939801439676,3.627421007440269e-05,14,2.0358891666213366e-05,6,9.265201108934297e-06,1
2.46,0.8194212946382095,1.1656454935113678,1.7401240758756038,1.0621109026940787,2.8022575616898273e-05,14,2.3935288392245405e-05,7,0.0,0
2.48,0.7917474938341359,1.1261277982957936,1.6813559582232358,1.048991187573272,3.566571720345812e-05,14,1.2345920979056018e-05,5,4.2607231152408556e-07,1
2.5,0.7638538907778076,1.086278795264849,1.6221210682358274,1.0335982671765087,3.740082670820383e-05,18,3.1536723305691015e-05,12,1.2429996447836945e-05,2
2.52,0.7358287700823034,1.04622247848547,1.5626068872270238,1.016025175507879,3.375494618975847e-05,12,3.08343838462091e-05,6,8.548181360581414e-06,1
2.54,0.7077623086454249,1.0060854937957726,1.5030049149686509,0.9963840634448681,3.074962735916386e-05,13,2.5662438656820268e-05,7,0.0,0
2.56,0.6797453219481222,0.9659952728337228,1.4435080073284994,0.9748008858758958,4.661912385010856e-05,19,3.83048710464367e-05,7,3.451122505287936e-05,2
2.58,0.6518685873937713,0.9260792256368059,1.384308939312776,0.9514343459060325,1.5605807546682818e-05,7,1.4786653028713597e-05,4,0.0,0
2.6,0.6242210057203091,0.8864618445438694,1.3255965006386383,0.9264474143304522,2.8055020290813895e-05,11,1.716202865133433e-05,5,1.255590715953046e-05,2
2.62,0.5968889108500565,0.8472639776594202,1.2675540301304218,0.9000296134130649,2.8883488105420768e-05,12,1.1246773459633508e-05,4,0.0,0
2.64,0.5699547983110997,0.8086007574219795,1.210356715393715,0.8723603420131486,3.296027896439814e-05,16,2.5079100301848958e-05,7,0.0,0
2.66,0.5434968396645344,0.7705812487734339,1.1541705616524491,0.8436371282113594,3.657558211893799e-05,8,3.657497174546688e-05,7,8.03078951320029e-06,1
2.68,0.5175879461663639,0.7333070480425631,1.09915040334015,0.8140606758439337,3.3340495075055213e-05,11,2.9898656490932516e-05,7,0.0,0
2.7,0.4922944307681057,0.6968698964032032,1.0454370627227665,0.7838321744206495,2.629893325800629e-05,10,9.070811968313006e-06,4,1.6850542016577523e-08,1
2.72,0.46767650447092557,0.6613530420319719,0.993158403956926,0.7531378220727178,2.817741228077162e-05,10,2.7839565942332544e-05,7,5.203939799160679e-06,1
2.74,0.4437875858173401,0.6268300536668377,0.9424278667256576,0.7221651232777305,1.2208111309374895e-05,8,9.27205110597261e-06,5,0.0,0
2.7600000000000002,0.4206739331493185,0.5933642127807511,0.8933436853012426,0.6910990945099488,1.172602752578267e-05,8,1.0009456414804207e-05,4,5.37901686656457e-06,1
2.7800000000000002,0.39837472126839724,0.5610088398088797,0.8459890513407292,0.6601044060451183,2.8183765412097816e-05,11,2.7830797290021672e-05,9,4.679393527464598e-06,2
2.8000000000000003,0.37692151662314266,0.5298059734322538,0.8004309993933775,0.6293448836349989,1.948106393377525e-05,6,1.8948556489927902e-05,5,6.264968823874951e-06,2
2.8200000000000003,0.35633915590389764,0.4997883584961694,0.7567222726855513,0.5989572285993028,2.611160370852683e-05,10,9.427143459193817e-06,5,2.246537488295383e-06,2
2.8400000000000003,0.336645669652213,0.4709789265777873,0.714901160897613,0.5690773897119985,1.8853240189163965e-05,6,4.406485567982373e-06,2,0.0,0
2.8600000000000003,0.3178525566200455,0.4433912254724711,0.6749920827934555,0.539815784153384,1.2178893786692835e-05,8,1.1628709706488515e-05,4,1.498525741281199e-06,1
