index,time,phi_deg,dV_dphi,stable_root_count,branch_exists
699,6.99,84.29370317445822,-0.21558033758682413,1,1
700,7.0,84.29370355592772,-0.21531498374915378,1,1
701,7.010000000000001,84.29370317445776,-0.2150502093566897,1,1
702,7.0200000000000005,84.29370355592727,-0.2147859864795755,1,1
703,7.03,84.2937031744573,-0.21452231317105325,1,1
704,7.04,84.29370355592681,-0.21425919541610985,1,1
705,7.050000000000001,84.29370317445685,-0.2139966531754073,1,1
706,7.0600000000000005,84.29370355592636,-0.21373467523783757,1,1
707,7.07,84.2937031744564,-0.21347324968378303,1,1
708,7.08,84.2937035559259,-0.21321238071848286,1,1
709,7.090000000000001,84.29370317445594,-0.21295205679040338,1,1
710,7.1000000000000005,84.29370355592545,-0.21269226017867984,1,1
711,7.11,84.29370317445549,-0.21243300918275254,1,1
712,7.12,84.27079782472379,-0.12438144884814073,1,1
713,7.130000000000001,84.27079744325383,-0.12423232117048111,1,1
714,7.140000000000001,84.27079782472333,-0.12408350499809837,1,1
715,7.15,84.27079744325337,-0.12393499401558022,1,1
716,7.16,84.27079782472288,-0.12378676492244606,1,1
717,7.17,84.27079744325292,-0.12363883747354788,1,1
718,7.180000000000001,84.27079782472242,-0.12349122707882865,1,1
719,7.19,84.27079744325246,-0.12334392580844836,1,1
720,7.2,84.27079782472197,-0.12319692593348446,1,1
721,7.21,84.27079744325201,-0.12305022822396716,1,1
722,7.220000000000001,84.27079782472151,-0.12290384372566952,1,1
723,7.23,84.27079744325155,-0.12275775947587352,1,1
724,7.24,84.27079782472106,-0.122611978016392,1,1
725,7.25,84.2707974432511,-0.1224665009126512,1,1
726,7.260000000000001,84.2707978247206,-0.12232132656739786,1,1
727,7.2700000000000005,84.27079744325064,-0.12217644283772942,1,1
728,7.28,84.25708017335296,-0.12202286647305405,1,1
729,7.29,84.257079791883,-0.12187857152412378,1,1
730,7.300000000000001,84.2570801733525,-0.12173457221145405,1,1
731,7.3100000000000005,84.25707979188255,-0.12159086259500487,1,1
732,7.32,84.25708017335205,-0.12144744902674369,1,1
733,7.33,84.25707979188209,-0.12130433409665844,1,1
734,7.340000000000001,84.2570801733516,-0.12116151602270546,1,1
735,7.3500000000000005,84.25707979188164,-0.12101899563464967,1,1
736,7.36,84.25708017335114,-0.12087675958471915,1,1
737,7.37,84.25707979188118,-0.12073482558682347,1,1
738,7.380000000000001,84.25708017335069,-0.12059316334439278,1,1
739,7.390000000000001,84.25707979188073,-0.12045177847529036,1,1
740,7.4,84.25708017335023,-0.12031067153704583,1,1
741,7.41,84.25707979188027,-0.12016983996665734,1,1
742,7.42,84.25708017334978,-0.1200292896071598,1,1
743,7.430000000000001,84.25707979187982,-0.11988900343111451,1,1
744,7.44,84.25708017334932,-0.11974898193710104,1,1
745,7.45,84.18166933045362,-0.08805195279630826,1,1
746,7.46,84.18166971192312,-0.08795507712618392,1,1
747,7.470000000000001,84.18166933045316,-0.0878583879993318,1,1
748,7.48,84.18166971192267,-0.087761888130064,1,1
749,7.49,84.1816693304527,-0.08766557681955918,1,1
750,7.5,84.18166971192221,-0.08756945464348442,1,1
751,7.510000000000001,84.18166933045225,-0.08747354140043474,1,1
752,7.5200000000000005,84.18166971192176,-0.08737782255890568,1,1
753,7.53,84.1816693304518,-0.08728231106742544,1,1
754,7.54,84.1816697119213,-0.08718698217709044,1,1
755,7.550000000000001,84.18166933045134,-0.08709183386223378,1,1
756,7.5600000000000005,84.18166971192085,-0.08699686542699599,1,1
757,7.57,84.18166933045089,-0.08690207253426337,1,1
758,7.58,84.18166971192039,-0.08680746395718167,1,1
759,7.590000000000001,84.18166933045043,-0.08671304664254202,1,1
760,7.6000000000000005,84.18166971191994,-0.08661881519661145,1,1
761,7.61,84.18166933044998,-0.08652477214763094,1,1
762,7.62,84.18166971191948,-0.08643090651595443,1,1
763,7.630000000000001,84.18166933044952,-0.08633722683930826,1,1
764,7.640000000000001,84.13198556885263,-0.273698458745378,1,1
765,7.65,84.13198518738267,-0.2734028896853642,1,1
766,7.66,84.13198556885217,-0.2731078998988431,1,1
767,7.67,84.13198518738221,-0.27281350599151316,1,1
768,7.680000000000001,84.13198556885172,-0.27251977328666294,1,1
769,7.69,84.13198518738176,-0.2722266119360283,1,1
770,7.7,84.13198556885126,-0.271934022828648,1,1
771,7.71,84.1319851873813,-0.271641989699525,1,1
772,7.720000000000001,84.13198556885081,-0.2713505170209503,1,1
773,7.73,84.13198518738085,-0.27105959714501604,1,1
774,7.74,84.13198556885035,-0.2707692167784445,1,1
775,7.75,84.1319851873804,-0.27047940122417025,1,1
776,7.760000000000001,84.1319855688499,-0.2701901434220851,1,1
777,7.7700000000000005,84.13198518737994,-0.26990143239500264,1,1
778,7.78,84.13198556884944,-0.26961327054539974,1,1
779,7.79,84.13198518737948,-0.269325658344644,1,1
780,7.800000000000001,84.13198556884899,-0.2690386071162689,1,1
781,7.8100000000000005,84.13198518737903,-0.26875208588137633,1,1
782,7.82,84.13198556884853,-0.2684661011517196,1,1
783,7.83,84.13198518737858,-0.26818065626548215,1,1
